"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.1.Dec.2018","sheets.players.League","sheets.players.Age.on.1.Dec.2018","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"1","2","1","Pernille Harder","Forward","Wolfsburg","Frauen Bundesliga","26","Denmark","Other nationalities, Frauen Bundesliga, Forwards","","","https://media.guim.co.uk/f9ffa07d3c7359bc37fd4181871f97bb3bdac1ae/867_96_624_624","cropRatio=624,624&size=140,500,624","https://media.guim.co.uk/ddcb6f5d012380022402d6cad5453fba0dff4bfa/0_242_5472_3283","cropRatio=5472,3283&size=140,500,1000,2000,5472","","A virtuoso year for the Dane, who was the focal point for both club and country in 2018. It was difficult not to feel sorry for Harder when Lyon scored four goals in quick succession to deem <a href=""https://www.theguardian.com/football/2018/may/24/wolfsburg-lyon-womens-champions-league-final-match-report"">her Champions League final goal</a> a mere note in history, and she also saw Denmark miss out on a World Cup spot. But none of it takes away from a year in which she starred on a regular basis, including two goals in the German Cup semi-final and a spectacular strike against Slavia Prague in Europe. With her ability to beat players, her technical prowess and her eye for goal, Harder is now arguably the most complete women’s footballer in the world. She led the goalscoring charts in the Bundesliga come the end of Wolfsburg’s title-winning 2017-18 season and, while she trailed her teammate Ewa Pajor so far this term, six goals domestically by the end of November and another half-dozen in the Champions League ensure Harder claims this year's No 1 spot.","Rich Laverty","100","MC√","NA√","RB","header-image-1_albatross.png"
"2","3","1","Sam Kerr","Forward","Perth Glory","W-League","25","Australia","Australian, W-League, Forwards","","","https://media.guim.co.uk/22ab283a940346d5d5d7ebcaebbbbe7e6ed16ad9/1346_85_525_526","cropRatio=525,526&size=500,525","https://media.guim.co.uk/f1c62d414c4a0ac5a6d2d8cd836c3b99c823da87/149_366_4583_2750","cropRatio=4583,2750&size=140,500,1000,2000,4583","","The Australian forward Kerr was once again one of the game's most prolific scorers in 2018, topping the NWSL charts for the second season in a row with 16 goals after swapping Sky Blue FC for Chicago Red Stars at the start of the year. Kerr's year began in her home country with a hat-trick for Perth Glory against Canberra United before she returned to the US. She scored three braces during the course of the NWSL season plus a hat-trick against her former club, helping the Red Stars reach the play-offs, where they lost 2-0 to the eventual champions North Carolina Courage. At international level she was once again the Matildas' talisman during a year in which they just missed out on the Asian Cup, <a href=""https://www.theguardian.com/football/2018/apr/20/matildas-left-to-rue-missed-chances-after-japan-win-asian-cup-final-with-late-goal"">losing 1-0 to Japan in the final</a>. Three goals at that tournament contributed to an overall tally for club and country of 29 for the year.","Rich Laverty","100","MC√","NA√","RB","header-image-1_albatross.png"
"3","10","7","Ada Hegerberg","Forward","Lyon","Division 1 Féminine","23","Norway","Other nationalities, Division 1 Feminine, Forwards","","","https://media.guim.co.uk/17c5cf7fee672f10ce76f512b01eaaf2fd4fcb72/1287_40_718_718","cropRatio=718,718&size=140,500,718","https://media.guim.co.uk/37bd732d817fb0a424dd2200a74f165a6047a879/0_76_3499_2100","cropRatio=3499,2100&size=140,500,1000,2000,3499","","Hegerberg had another stellar year, consolidating her reputation as one of the top strikers in the world and won the Ballon d'Or in early December. She helped an all-star Lyon side win both the Division 1 Féminine and a third consecutive Champions League, scoring in the final against Wolfsburg. The Norwegian ended the 2017/18 season with 31 goals, 10 clear of the next best, and is already well on her way to another stellar campaign. An outstanding tally of 15 Champions League goals, seven more than her nearest rival, emphatically earned her the golden boot, while strikes in both legs against Ajax helped Lyon progress to this season’s quarter-finals. Still <a href=""https://www.theguardian.com/football/2018/jul/03/lyon-ada-hegerberg-ronaldo-champions-league-goals"">in the international wilderness</a>, Hegerberg did not return to Norway duty in 2018 as Martin Sjögren’s side beat Netherlands to an automatic World Cup spot, but her lack of football on that stage has done nothing to downgrade her talent or reputation.","Rich Laverty","100","MC√","NA√","RB","header-image-1_albatross.png"
"4","5","1","Lucy Bronze","Defender","Lyon","Division 1 Féminine","27","England","English, Division 1 Feminine, Defenders","","","https://media.guim.co.uk/c18372d565f48830e5622454093d10b1d717fa1d/946_75_593_594","cropRatio=593,594&size=500,593","https://media.guim.co.uk/86eedecb02183751265c487fa7738e7e004a957f/0_303_4948_2969","cropRatio=4948,2969&size=140,500,1000,2000,4948","","The former Manchester City right-back has been a consistent member of the top 10 but reaches her highest ranking this time, just missing out on the top three at the end of her first full year in Lyon. Bronze got what she craved after leaving behind the WSL, winning the French title and starting the Champions League final. She did not quite live up to her reputation for popping up with goals, but did recently score against Ajax and saved her best for last season’s Champions League semi-final against her former club, where her stunning volley not only <a href=""https://www.theguardian.com/football/2018/apr/29/olympique-lyon-manchester-city-women-champions-league-semi-final-second-leg-match-report"">clinched the tie for Lyon</a> but was nominated for Uefa’s goal of the year award. A sixth-placed ranking in Fifa’s The Best awards was well-earned and she has continued to be a regular at national team level, with the England head coach Phil Neville describing her as one of the leading players in the world. In 2018, Bronze has reasserted her claim to being the best player around in her position.","Rich Laverty","100","MC√","NA√","RB","header-image-1_albatross.png"
"5","11","6","Eugénie Le Sommer","Forward","Lyon","Division 1 Féminine","29","France","French, Division 1 Feminine, Forwards","","","https://media.guim.co.uk/b7d2832d6ac956b129d92cc53245f51aadf88acd/2358_107_1083_1084","cropRatio=1083,1084&size=500,1000,1083","https://media.guim.co.uk/74142d7da3a4686eaae4189f1348d58fb6f0caf8/0_177_5032_3020","cropRatio=5032,3020&size=140,500,1000,2000,5032","","Often cast in the shadow of her up-and-coming strike partner Hegerberg at Lyon, Le Sommer scored 10 goals in 13 games after the turn of the year to help fire the team to another league title and their latest Champions League success. Asserting herself as a big game player, Le Sommer scored a vital away goal against Barcelona in the last eight and produced the 99th minute effort that gave them a 2-1 lead over Wolfsburg in the final. As if to emphasise her quality, a hat-trick against Toulouse in February ensured she is now Lyon’s greatest goalscorer ever, a tally that amounted to 226 at the time but is now approaching 250. She has been in similarly irresistible form for France, scoring in seven consecutive games – including goals against USA, Germany, Canada and Australia.","Rich Laverty","100","MC√","NA√","RB","header-image-1_albatross.png"
"6","12","6","Amandine Henry","Midfielder","Lyon","Division 1 Féminine","29","France","French, Division 1 Feminine, Midfielders","","","https://media.guim.co.uk/1400dc720e618591bf4dbd5f30fb9fc1735a52d2/763_71_608_608","cropRatio=608,608&size=140,500,608","https://media.guim.co.uk/a3ac3fa655855b57b31015b3e8eae512f9face39/216_257_4152_2492","cropRatio=4152,2492&size=140,500,1000,2000,4152","","Henry's ranking as the highest midfielder in this list presents no surprise when you consider the class and talent she brings to both club and country. Four goals from midfield were just the tip of the iceberg as Lyon won another domestic title, but her biggest moment came in Kiev when Lyon were trailing Wolfsburg 1-0 and looked to be on the verge of missing out on the Champions League title. She equalised in the 98th minute, turning the tie and helping Lyon go on to lift the trophy. But Henry's talents extend well beyond her goals. Her ability on the ball, composure and range of passing all catch the eye and make an impact at international level too. Corinne Diacre's France team count on her contributions, which this year included their first goal of the year against Italy and another in an impressive 3-0 win over Germany. With her home World Cup approaching in 2019, Henry will once again have the chance to show how well she can control games on the global stage.","Rich Laverty","100","MC√","NA√","RB","header-image-1_albatross.png"
"7","8","1","Alex Morgan","Forward","Orlando Pride","NWSL","29","USA","American, NWSL, Forwards","","","https://media.guim.co.uk/62eb1c48529bcb1b8e8d4ba70c045feec6f640ee/1797_112_1156_1156","cropRatio=1156,1156&size=140,500,1000,1156","https://media.guim.co.uk/05e09982c089a9a132fa8334a3ba22932f96fa20/0_244_5359_3216","cropRatio=5359,3216&size=140,500,1000,2000,5359","","Morgan's year has brought vastly differing fortunes for club and country, and it is her sensational form for the USA national team that places her this high. As Orlando Pride struggled for consistency in 2018 and said goodbye to their manager, Tom Sermanni, Morgan scored just five NWSL goals and never struck in consecutive games, although she did find the net in big early season wins against Portland Thorns and Chicago Red Stars. It was on the international stage that she really starred, though, as Jill Ellis’s side went unbeaten in 2018. She scored 18 times in their 20 games this year, starting off with a goal against Euro 2017 runners-up Denmark. Two braces in a row against Mexico followed, while her best moment was <a href=""https://www.theguardian.com/football/2018/jul/26/uswnt-japan-alex-morgan-hat-trick"">a hat-trick against Japan</a>, their opponents in the last two World Cup finals. While her quality in front of goal remains unquestionable for her country, one wonders just how much more Morgan can offer for her club in 2019 – but she should play a key role in the USA's bid to retain the World Cup next summer.","Rich Laverty","200","MC√","NA√","RB√","header-image-1_albatross.png"
"8","9","1","Wendie Renard","Defender","Lyon","Division 1 Féminine","28","France","French, Division 1 Feminine, Defenders","","","https://media.guim.co.uk/e60ff349f23dd8d08539ae18e7ffc80c7f81ef3f/1141_209_733_733","cropRatio=733,733&size=140,500,733","https://media.guim.co.uk/c72d516fab83bd02316ec595162d6c6318e413c2/0_286_4288_2573","cropRatio=4288,2573&size=140,500,1000,2000,4288","","The imposing centre-back has asserted herself as one of the game's best defenders for a number of years now. Standing at 187cm, Renard is now among the most recognisable players in the world and, as captain of Lyon, has been pivotal in the club’s success in recent years. Given her height, it is no surprise Renard also chips in with a goal or two, most recently scoring twice in a league win against Dijon just days after another brace in the Champions League against Ajax. Her latest spot in the top 10 reflects an incredible consistency in performance and demonstrates how highly she is rated around the world. Renard has not always been in favour with new France head coach Corinne Diacre but, after a spell out at the start of the year through injury, she has returned to being a regular and will play an important role should Les Bleus win their home World Cup in 2019.","Rich Laverty","200","MC√","NA√","RB√","header-image-1_albatross.png"
"9","1","-8","Lieke Martens","Forward","Barcelona","La Liga Iberdrola","25","Netherlands","Dutch, Other leagues, Forwards","","","https://media.guim.co.uk/5eeb1c4c3cd2e9725ca8d0d929654fbdae1f673b/1742_74_1250_1250","cropRatio=1250,1250&size=140,500,1000,1250","https://media.guim.co.uk/64909f3a7f7aaf09301cdcbea8140ccaeb73e92b/472_0_3172_1904","cropRatio=3172,1904&size=140,500,1000,2000,3172","","How do you follow a year where you helped your country <a href=""https://www.theguardian.com/football/2017/aug/06/womens-euro-2017-holland-denmark-match-report"">win their first major tournament</a>, starring throughout in front of your home fans and securing a move to Barcelona? This year was always going to be the difficult second album for Martens, but she did a fine job of continuing <a href=""https://www.theguardian.com/football/blog/2018/apr/24/lieke-martens-barcelona-ronaldinho"">to show the quality</a> that brought her to the world’s attention at Euro 2017. While Barça missed out on the Liga Iberdrola title to Atlético Madrid, Martens hit double figures for the season – with seven of them coming since the beginning of 2018. They had better fortunes in the domestic cup and, after Martens scored in the 94th minute of the semi-final against Athletic Club, Fran Sánchez’s side went on to beat Atlético in the final. On the international front, the Netherlands struggled to build on 2017’s successes but the recent play-off victory over Switzerland – in which Martens also found the net – ensured them a place at next summer's World Cup. She shone at the Algarve Cup, scoring twice in a 6-2 win over Japan and again in a repeat of the Euro 2017 final against Denmark.","Rich Laverty","200","MC√","NA√","RB√","header-image-1_albatross.png"
"10","16","6","Megan Rapinoe","Midfielder","Seattle Reign","NWSL","33","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/45e3b1ec6459068c0be7bf4b25418eb327283356/820_90_1366_1366","cropRatio=1366,1366&size=140,500,1000,1366","https://media.guim.co.uk/5af2b230e6fedadfe6839df1d7d598ef6f2290ed/0_210_4428_2657","cropRatio=4428,2657&size=140,500,1000,2000,4428","","Like a fine wine, Rapinoe seems to get better with age and makes it into the top 10 for the first time after an impressive year. The winger showed no after-effects of the serious injury that kept her out for much of 2016 and could hardly have started Seattle's NWSL season much better. She scored four goals in the opening four games and provided several assists along the way; even though her form fluctuated after that, Reign reached the play-offs. She was once again prominent as USA went unbeaten across 20 matches, linking up with her fellow attackers to fine effect and coming up with the winner in their opening SheBelieves Cup match against Germany. Rapinoe contributed to five of the USA’s goals in a 6-2 win over Mexico, scoring one and assisting four others, and helped her side book a place in France to <a href=""https://www.theguardian.com/football/blog/2018/aug/03/five-things-the-uswnt-must-do-to-successfully-defend-the-world-cup"">defend their World Cup title</a>.","Rich Laverty","200","MC√","NA√","RB√","header-image-1_albatross.png"
