"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Club.on.1.Dec.2019","sheets.players.League","sheets.players.Age.on.1.Dec.2019","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Words","sheets.players.Desked.by","sheets.players.Subbed","sheets.players.Revised","sheets.header_image"
"1","2","1","Sam Kerr","Forward","Chicago Red Stars","NWSL","26","Australia","Australian, WSL, Forwards","","","https://media.guim.co.uk/6eac0c269e82baae2796a09e224c9f5cb527bd66/1012_228_1297_1297","cropRatio=1297,1297&size=140,500,1000,1297","https://media.guim.co.uk/8194c59b68606718debfc9c3e6fc044ea927aa46/370_251_3491_2094","cropRatio=3491,2094&size=140,500,1000,2000,3491","","From third, to second, to first. Kerr is in the top three for the third year in a row and for the first time is the No 1. How to top a record-breaking 16 NWSL goals in 2018? Score 18. Kerr's goal tally in the 2019 NWSL season was astounding and she was six goals clear of the next best opponent. Her partnership with Yuki Nagasato was a thing of beauty and the sublime nature of her movement, pace and intellect made so many of her goals look so simple. Whether it was her two goals in a big win against the Courage, her four in one game against Jamaica at the World Cup or the hat-trick she scored against Orlando Pride a week after missing a penalty in Australia's World Cup exit, there were goals and class aplenty from Kerr throughout 2019. As rumours swirled of a new challenge for 2020, Kerr will start the new year in fresh surroundings with Chelsea in the FA WSL and it is hard not to be excited about the prospect of seeing her in new territory at the absolute peak of her powers.","","","","","","header-image-day-1_alligator.png"
"2","4","2","Lucy Bronze","Defender","Lyon","Division 1 Féminine","28","England","English, Division 1 Féminine, Defenders","","","https://media.guim.co.uk/d9fb1673275181e0d1f47071cb028c57a40689be/461_41_607_607","cropRatio=607,607&size=140,500,607","https://media.guim.co.uk/c7c7468bb4e6af5c2865c4d90732100da7411514/0_156_3714_2228","cropRatio=3714,2228&size=140,500,1000,2000,3714","","Some, including her international manager, believe Bronze to be the best in the world and while many may dispute it, there is no doubt she is out front as the best in her position. Bronze ranks inside the top five for a third year running and only narrowly misses out on top spot. After her performance in the World Cup quarter-final win against Norway in which she cracked in a stunning goal from the edge of the penalty area, she was the name being touted for all the awards but a sub-par performance in the semi-final largely put paid to that. She did, though, win Uefa's Player of the Year award and was a Ballon d'Or nominee. She once again won the league with Lyon and another Champions League in devastating fashion against Barcelona and it feels as if Bronze is a player fully comfortable with her role and embracing how good she is.","","","","","","header-image-day-1_alligator.png"
"3","10","7","Megan Rapinoe","Midfielder","Reign FC","NWSL","34","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/89d6946338d1814d31014a96b831d2a2ed3afa36/769_138_2276_2276","cropRatio=2276,2276&size=140,500,1000,2000,2276","https://media.guim.co.uk/6ad87d4e35a82381295598b403db026cdc159d30/0_169_3615_2168","cropRatio=3615,2168&size=140,500,1000,2000,3615","","Rapinoe saved her best for the biggest occasion in 2019. Her domestic year amounted to a handful of games and no goals, but the month in which she led the USA to a World Cup triumph will live long in the memory. Rapinoe used her skill, movement and precision to devastating effect in the key moments in France. She kept her calm to slot home two penalties against Spain in the second round before her pinnacle came in the quarter-final against France in front of a partisan Parisian crowd. Her early free-kick and subsequent iconic celebration set the tone for a night that would be hers and hers only. A second half tap-in at the back post sent the hosts packing and while she was a surprise omission for the semi-final, the left winger returned to have the first say in the final against the Netherlands, coolly converting a penalty early in the second half to set the USA on their way. Rapinoe's year polarises opinion due to her lack of match action elsewhere, but there can be no argument few had a bigger influence on the USA's back-to-back World Cup success than Rapinoe.","","","","","","header-image-day-1_alligator.png"
"4","3","-1","Ada Hegerberg","Forward","Lyon","Division 1 Féminine","24","Norway","Other nationalities, Division 1 Féminine, Forwards","","","https://media.guim.co.uk/533be7903d6cd738f5ebecdecaf987f4ae00dfc7/705_764_1264_1264","cropRatio=1264,1264&size=140,500,1000,1264","https://media.guim.co.uk/c6879783db880bf8cc630bf4666e3b1dabec6ce5/159_189_3697_2218","cropRatio=3697,2218&size=140,500,1000,2000,3697","","Hegerberg drops out of the top three in a year where the World Cup had a big bearing on the rankings, but to be fourth after missing the tournament shows just how good the striker is and how highly regarded she is around the world. Hegerberg had registered a staggering 20 goals in 14 games across all competitions for Lyon by the end of November, and possesses an almost unique ability to score freely with either foot, her head or create chances for herself and others. She has two hat-tricks and five doubles to her name since the season kicked off in August. But her best moments came in the Champions League final, where an incredible 16-minute hat-trick in the first half-hour devastated Barcelona and sealed a third European trophy in a row for all-conquering Lyon. A true star, Hegerberg continues to get better and better.","","","","","","header-image-day-1_alligator.png"
"5","6","1","Amandine Henry","Midfielder","Lyon","Division 1 Féminine","30","France","French, Division 1 Féminine, Midfielders","","","https://media.guim.co.uk/9fee3e22841e1881ccd8b409d7fef7a2e73de2fd/1313_116_845_845","cropRatio=845,845&size=140,500,845","https://media.guim.co.uk/7541a4927d50df5f177b9a46ad6faec7a63d1dce/113_196_3569_2141","cropRatio=3569,2141&size=140,500,1000,2000,3569","","Henry, the top-ranked midfielder in 2019, rises up a position after another superb year. She is simply the all-round midfielder, with the ability to pass, score, dictate and be a crucial cog for the most successful club in Europe. Henry does not score many goals but when she does they tend to be big ones, her only club goal in the first half of 2019 coming in the Champions League semi-final win against Chelsea. Maybe Henry was saving her goals for the biggest stage of all as she struck a beauty in France's opening game of the World Cup before popping up with a winner in extra-time of their second-round match against Brazil. But goals are only a small part of Henry's game; what makes her great is that she has so much more. She has returned to Lyon in fine form, is at the peak of her game and has added a goal or two more to her CV in the new season.","","","","","","header-image-day-1_alligator.png"
"6","15","9","Vivianne Miedema","Forward","Arsenal","FA WSL","23","Netherlands","Dutch, WSL, Forwards","","","https://media.guim.co.uk/e5c52926326d363b372fe97e48c8ff822a2b6bb0/2114_263_1076_1076","cropRatio=1076,1076&size=140,500,1000,1076","https://media.guim.co.uk/e86ef6495f3e1f6a86b010938870626e26772d5b/0_157_3120_1872","cropRatio=3120,1872&size=140,500,1000,2000,3120","","Miedema's superb form at the end of 2018 was hard to top in 2019 but the Dutch sensation has certainly had a good go at it. Five goals in her opening five games of the year was a useful start before six more helped seal Arsenal's first WSL title in seven years. For the Netherlands, she became her nation's all-time top scorer and her World Cup brought three goals on the biggest stage and another major tournament final. Miedema came out of the tournament in top form once again, and had scored 14 goals in across all competitions by the end of November, including seven in two legs against Slavia Prague. Then came the remarkable game against Bristol City in the WSL on 1 December where she scored six and set up four. At 10-0 she had played a part in every single goal. It was a complete performance and seven goals for the Netherlands since the summer only highlight how consistent she is. These are incredible numbers for a striker who is not even at her peak yet.","","","","","","header-image-day-1_alligator.png"
"7","","New entry","Rose Lavelle","Midfielder","Washington Spirit","NWSL","24","USA","American, NWSL, Midfielders","","","https://media.guim.co.uk/318dcdada4e42486a0cb42165cdd45e4980ac787/980_29_584_584","cropRatio=584,584&size=140,500,584","https://media.guim.co.uk/578af5a3c877387f259617037b51b19664ab56aa/0_242_5184_3110","cropRatio=5184,3110&size=140,500,1000,2000,5184","","No one has broken into these rankings quite like 2019's highest new entrant. A frustrating run of injuries has kept Lavelle out of the 100 since her breakthrough a few years ago but her contribution to the USA's World Cup campaign has put her straight into the top 10. The ease with which Lavelle travels with the ball is a joy to behold and her deceptive pace and trickery gives even the best defenders little chance of stopping her. Her gliding to the edge of the box, side-stepping her marker and smashing the ball past Sari van Veenendaal in the World Cup final was one of the standout moments of the tournament. But Lavelle's contribution was felt throughout, from her two goals against Thailand to her dazzling display against England in the semi-finals. Her NWSL season was restricted but she still found time to score a goal for Washington Spirit that inflicted a rare defeat on North Carolina Courage.","","","","","","header-image-day-1_alligator.png"
"8","1","-7","Pernille Harder","Forward","Wolfsburg","Frauen Bundesliga","27","Denmark","Other nationalities, Frauen Bundesliga, Forwards","","","https://media.guim.co.uk/8698e9196c3a77daaa624c331b2e5f3674b0871f/780_420_1049_1049","cropRatio=1049,1049&size=140,500,1000,1049","https://media.guim.co.uk/953b3ccf1102e78b59f377a7d682824c4dbc3a33/0_306_3957_2374","cropRatio=3957,2374&size=140,500,1000,2000,3957","","Last year's winner was likely always going to suffer for Denmark missing out on the World Cup and a drop to eighth this year reflects that, but Harder has still had another superb year and is comfortably established as one of the finest attackers in the game. She is already well out in front in the Bundesliga's scoring charts this season with 12 goals to her name by the end of November, only six short of last season's tally. Harder has found the net in 13 out of 20 games this season for club and country, scoring back-to-back hat-tricks in nine days for Wolfsburg and Denmark. Her ability to both create chances and score from them marks her down as one of the best around. There are few better with the ball at their feet and few more deadly in front of goal. The fact she has four hat-tricks already since the summer underlines her formidable current form as she looks to return to a major tournament with Denmark at Euro 2021.","","","","","","header-image-day-1_alligator.png"
"9","8","-1","Wendie Renard","Defender","Lyon","Division 1 Féminine","29","France","French, Division 1 Féminine, Defenders","","","https://media.guim.co.uk/e835bc2bcd936d36fceb9a81b7d7e75a4a2f529b/1146_155_818_818","cropRatio=818,818&size=140,500,818","https://media.guim.co.uk/45686a8013dcb6c32f7b282d034644d031d4156e/0_254_3804_2282","cropRatio=3804,2282&size=140,500,1000,2000,3804","","Eighth, ninth, eighth and now ninth again, Renard continues to show remarkable consistency and is once again the highest-ranked centre-back in our top 100. When you captain the top club in Europe (and one of the leading nations) and win as much as Renard does, it is hard to argue against her quality. Her towering stature and aerial ability also make her a goal threat; she scored eight times for Lyon last season and has three already this time around domestically. She led her club to another Champions League title and remarkably has a hat-trick in the competition already this season, against Ryazan in the first round. At the World Cup Renard became France's go-to scorer, finding the net three times in the group stage, again against USA in the quarter-finals, with a bizarre own goal against Norway the only blot on her copybook. Overall, it was another stellar year for one of the best defenders in the world","","","","","","header-image-day-1_alligator.png"
"10","5","-5","Eugénie Le Sommer","Forward","Lyon","Division 1 Féminine","30","France","French, Division 1 Féminine, Forwards","","","https://media.guim.co.uk/de5a73be5057a83b98afc639b3d2611c4e90f515/174_329_3056_3056","cropRatio=3056,3056&size=140,500,1000,2000,3056","https://media.guim.co.uk/8b0fef08db0d4a5e8ce8f81bce5fd864c7278cd5/0_159_3129_1877","cropRatio=3129,1877&size=140,500,1000,2000,3129","","A slight drop from last year but Le Sommer makes the top 10 for a second year in a row. In a Lyon team full of stars, Le Sommer continues to be one of the most important. Thirteen goals last season and five already by late November this term show she has lost none of her ability whether playing up front or on the left to accommodate her teammate Ada Hegerberg. She added yet another Champions League medal to her haul and would have had dreams of a World Cup medal on home soil, but it was not to be. Still, her contribution was felt as France reached the quarter-finals. She scored their opening goal of the tournament against South Korea and followed that up with a goal against Norway. Le Sommer recently found the net in six consecutive games for club and country and it's no wonder she has become the top scorer in Lyon's history and now sits only five goals behind Marinette Pichon's record of 81 for the national team.","","","","","","header-image-day-1_alligator.png"
